spaceIndex,spaceId,spaceSymbol,spaceAddress,proposalId,proposalTitle,proposalBody,proposalChoices,proposalStart,proposalStart.1,proposalEnd,proposalSanpshot,proposalAuth,proposalSpace,voteId,voteVoter,voteCreated,voteChoice,voteSpace
0,52,52,52,52,52,52,52,52,52,52,0,52,52,52,52,52,52,0
1,1790,1790,1790,1790,1790,949,1790,1790,1790,1790,0,1790,1790,1790,1790,1790,1790,0
2,613,613,613,613,613,613,613,613,613,613,0,613,613,613,613,613,613,0
3,14,14,14,14,14,14,14,14,14,14,0,14,14,14,14,14,14,0
4,11,11,11,11,11,11,11,11,11,11,0,11,11,11,11,11,11,0
5,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,0
6,204,204,204,204,204,203,204,204,204,204,0,204,204,204,204,204,204,0
7,38,38,38,38,38,38,38,38,38,38,0,38,38,38,38,38,38,0
8,45,45,45,45,45,45,45,45,45,45,0,45,45,45,45,45,45,0
9,174,174,174,174,174,174,174,174,174,174,0,174,174,174,174,174,174,0
10,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,0,1029,1029,1029,1029,1029,1029,0
11,8,8,8,8,8,8,8,8,8,8,0,8,8,8,8,8,8,0
12,150,150,150,150,150,150,150,150,150,150,0,150,150,150,150,150,150,0
13,186,186,186,186,186,186,186,186,186,186,0,186,186,186,186,186,186,0
17,62,62,62,62,62,62,62,62,62,62,0,62,62,62,62,62,62,0
18,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,0,1891,1891,1891,1891,1891,1891,0
21,464,464,464,464,464,464,464,464,464,464,0,464,464,464,464,464,464,0
22,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,0
23,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,0
25,1373,1373,1373,1373,1373,1373,1373,1373,1373,1373,0,1373,1373,1373,1373,1373,1373,0
26,62,62,62,62,62,62,62,62,62,62,0,62,62,62,62,62,62,0
27,57,57,57,57,57,57,57,57,57,57,0,57,57,57,57,57,57,0
29,32,32,32,32,32,32,32,32,32,32,0,32,32,32,32,32,32,0
30,16,16,16,16,16,16,16,16,16,16,0,16,16,16,16,16,16,0
31,537,537,537,537,537,446,537,537,537,537,0,537,537,537,537,537,537,0
33,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
34,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,0
35,436,436,436,436,436,436,436,436,436,436,0,436,436,436,436,436,436,0
36,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
37,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,0
